,Negative_reviews
3033,"i loved this app but this morning it was just gone from my phone and ive tried about a million times to reinstall it but i receive error message 24 and i dont know why because it had been working just fine up until yesterday please assist :  
"
3034,"several problems with this app on this asus tablet going to stay with browser instead maybe its me or the tabletthen again there seems to be about 8 000 of us giving this 1 or 2 rating  :  
"
3035,"using it about 6 months but havent face any kind of problems best of luck developers :  
"
3036,"i like this app but i can never schedule a post every time i try even today when said said schedule it goes ahead and publishes it instantly please fix this :  
"
3037,"works really well just gave it a quick spin and this latest update has it zoomping dont k know if it can facilitate the code customizing i enjoy on my site but it sure will power some real fly impromptu site administration even on my smallest handset :  
"
3038,"neat app only thing is i added my self hosted site but i cant like comment or reply on blogs which of course i can when im on my laptop :  
"
3039,"when iam going to custom page its not worki cant change the option such as static front page background etcplease develop this :  
"
3040,"i cant log into my account using this app or the browser not even create a new one theres always an error or site cannot be reached :  
"
3041,"terrible for my blu life pure it just doesnt work i hated it el formato es terrible para mi blu life pure para escribir tengo que adivinar y tantear donde lo hago ya que la barra de herramientas ocupa toda el rea y no tienes como ocultarla a cada rato sale una advertencia para guardar los datos por si te sales lo que des configura otra vez la pagina es terrible :  
"
3042,"please resolve the problem an error occured while uploading media :  
"
3043,"this version is really useless now the app became too slow and boaring i hate this update this wordpress app :  
"
3044,"i am not being able to upload pictures did this asap :  
"
3045,"solve this problem it doesnt respond on my qmobile i5i :  
"
3046,"is a app that helps build your website and it is the best app ive ever tried and you can believe me or not but this is the perfect app for anyone :  
"
3047,"it is not user friendly cant publish post or upload pictures :  
"
3048,"app crashes while user tap on contact us or browser our faq :  
"
3049,"i can barely do anything anymore i cant post upload pictures or anything and if i logout i cant login again cause the login box doesnt come up :  
"
3050,"help center was not helpful at all when i experienced an error in logging in :  
"
3051,"deleted all my comments when i tried to mark one as spam  :  
"
3052,"it takes ages to load notifications also doesnt link facebook comments on the post into blog too slow to load :  
"
3053,"i used this app once i spent a long time writing a post that i was very pleased with this app only saved half of it thanks :  
"
3054,"i can never ever get it to update to my other account :  
"
3055,"not able to submit the post in drafts :  
"
3056,"siip bro                       :  
"
3057,"blogger app just cant compete with all the features of wordpress while it had failed me a few times while uploading it is still head and shoulders above the rest :  
"
3058,"i have had enough of my photos being moved around when i go out og the blog editor and then back into it it moves photos in the middle of sentences just went back into it after my phone battery ran out and the last three hours of editing a blog post was lost ive contact wordpress about this bug before and was told to update which ive done twice since and nothing has changed im moving to a different blog provider pathetic :  
"
3059,"tried updating my post by adding pics to it using the app and it failed twice when i click on updating it shows me upload 13 pics and then when it reaches the 3rd pic my mobile restarts first time i thought it might be issue with mobile then it happened again the mobile is fully charged and hence i wasnt expecting this to happen :  
"
3060,"its so awful i cant even post a post all it says is error cant upload :  
"
3061,"i cant upload a profile pic tsk this is unfair gravatar is not helping :  
"
3062,"whenever i try to start a blog it crashes fix it plzzz asap  :  
"
3063,"need to add a word count and drafts please :  
"
3064,"why i can not use the app when i switched two step authentification :  
"
3065,"lags very badly                :  
"
3066,"couldnt sign in my account     :  
"
3067,"cant log in                    :  
"
3068,"but i cant post from it why    :  
"
3069,"i really like this app because it allows me to edit posts when off line putting changes through when logged into a network however it seems to not keep in sync with work done on my desk top logged into my desk top or portable device will get me different results even though both should be synced that shouldnt matter rightof both devices go on line and are edited on the same account im pretty sure that ive been saving my changes anyhow thank you for this application i like the themes :  
"
3070,"awesome app very user friendly but i would like to be able to add featured images to posts thats the one thing i miss from the web version since my blog features an image in every post so i have to go back and edit any i write using this app :  
"
3071,"not much use very disappointing you log into your selfhosted site and none of the inapp functionality seems to work couldnt refresh at this time keeps being shown instead you need to view the website and then use the normal dashboard but on a small screen i could do that in any browser please fix the refresh issue :  
"
3072,"i downloaded this hoping it would be a good outlet for posting things i write unfortunately this app forces you to keep every line you write extremely short like 3 or 4 words before it bumps you to the next line i have more room on this review than i did on their app totally screws up rythem grammer pacing feel and sound bad app for writers :  
"
3073,"this app has used 750mb of mobile data in 10 days and i havent even used it very much and i usually use it on wifi anyway its a very nice app but there is something wrong with the data usage :  
"
3074,"i use the app frequently to write while i am traveling i just spent an hour to compose an article i needed to check a link on chrome and went back to the main menu it said local draft saved i looked up what i needed and went back into the app in the preview the pictures have been scrambled with the text an issue i had observed already which i did not really care about that much when i tried to edit it there was no more content everything gone except for the heading everything was deleted :  
"
3075,"after installing this app i had nothing but problems with my self hosted site wouldnt upload media in posts wouldnt log in properly err connection refused more times than i can remember leaving my site inn accessible for about 20 minutes i give up uninstalling go back to the computer :  
"
3076,"this app keeps deleting my drafts and i had to type the same stuff oover and over again it also deletes my pictures nonstop and i had to insert and insert until i get mad please fix this :  
"
3077,"the customization tool sucks i cant change the photo on my cover page and while it is a decent picture of snowy mountains i live in a desert so it doesnt make much sense i also cant change the font colorwhich is stupid since i can change the background and want to use a dark color to prevent eyestrain but i dont want to pay for the premium package ugh edit i am so sorry that it took so long to catch what my autocorrect did wow :  
"
3078,"this app is ok the end results can be great if you are patient but the whole interface is just painful and i end up putting off updating my blog because i know it is going to be a hassle there seem to be so many different areas to the app all of which allow you to edit a post for example but each with a slightly different interface and different features and options yesterday i was previewing a post found a mistake so clicked edit and went into a completely different editor which allowed media insertion direct from hard drive rather than having to upload to library first and now i cant find it could be great but is too messy and bitty typical piece of software written by a large company with lots of developers who dont talk to each other and no one person with an overview of what it is really like to use :  
"
3079,"app had serious issue i write my post and click on update button but lost all data because got error to update data app should save data into local before updating to server please fix this issue :  
"
3080,"major problem with self hosted sites simply doesnt work :  
"
3081,"i have tried two phones sony xperia m4 and alcatel idol 3 the app doesnt work on them for self hosted site they have lollipop 502 but it works on my old tablet acer on jellybean 41 so please fix this :  
"
3082,"sometimes entires drafts get deleted when all i did was try to save draft hours of work down the drain  :  
"
3083,"when i make some changes on my post like adding a photo because i forgot to add one it is saying an error occur while uploading in media and it is saying that changes are made locally i dont understand please help me i tried publishing it all over again but still changes are not occurring ill add more stars if this will be fix thanks anyways for this app :  
"
3084,"i think it can do better its hard to reblog post because i need to open it in the web browser please add a reblog button and a add a search bar on page of the site i follow :  
"
3085,"i have a blog on wordpress so naturally i got the app had an issue on my blog no way of contacting wordpress only forums to ask considering its a paid service its not good thank you for your reply  :  
"
3086,"wow im struggling to find something not wrong with this app its truly a poor attempt with many glitches uninstalled :  
"
3087,"spent so much time changing from blogger to wp and noone could fix the problem of my site getting no traffic deleted :  
"
3088,"app crashes after sign in just a waste of mb downloading it :  
"
3089,"i cant login to my account even doing what i was asked to do via the support staff :  
"
3090,"it keeps telling me ive made my first post and it wont let me see anything else :  
"
3091,"i dont know how im going to put my profile picture  :  
"
3092,"keep redownloading on my galaxy note edge and then it said download failed :  
"
3093,"i tried clicking the action button multiple times but nothing happened :  
"
3094,"my only complaint is that my pictures keep disappearing and it takes a long time to load :  
"
3095,"why it always error if i upload pictures please fix that :  
"
3096,"im not able to login even after inputting proper login credentials :  
"
3097,"had teething troubles working well now  :  
"
3098,"just repaired my phone and collected it due to leggy and stuff hope this app wont cause the reason installed now finger cross  :  
"
3099,"error refreshing posts and categories and post upload failed evertime :  
"
3100,"it was working before i upgraded to android 60 now the app shows i only have one post :  
"
3101,"not allowing to share pot on facebook :  
"
3102,"i cant update my profile picture :  
"
3103,"fail to insert foto            :  
"
3104,"couldve been better but good job nevertheless :  
"
3105,"works to blog in a pinch       :  
"
3106,"azam kamboh chak 294hr         :  
"
3107,"i love nd like this            :  
"
3108,"works fine nothing imparticular :  
"
3109,"dope app                       :  
"
3110,"average                        :  
"
3111,"i would have thought wordpress had more skills than this im deleting this app because it sucks :  
"
3112,"here are the problems with this app on my nexus 7 i cant upload photos through the app i have to use the browser version and upload one at a time very annoying if i want to put 2030 photos in a post if the orientation of my tablet changes the app resets to the dashboard and you lose what you were working on the cursor sometimes behaves very strangely when typing so you end up with one word insianotherde like that all of these things make creating a post a slow and frustrating process :  
"
3113,"the new ui is nice but once i updated i can no longer see the app in my drawer i can only access the app from google play store update i restarted my phone and got the shortcut back just as automattic inc suggested thanks for the reply :  
"
3114,"then i dont know what is perfectly fine cyberweb space creation tool kit maybe it is because i am just so familiar with the setup or maybe i am too afraid of the other sites that offer their own variations but i just keep coming back the app ran wonky on my old phone but my old phone was wonky anyway heres to the new lt3  :  
"
3115,"1 it doesnt display scheduled blog posts 2 once the scheduled blog post is already published it doesnt reflect on the app immediately in fact it takes ages 3 too limited in terms of feature access 4 takes toooo long to reflect changes :  
"
3116,"app doesnt allow me to upload profile pictures or pictures within a blog post it works in the web version but not in the mobile app version bit annoying  :  
"
3117,"it will not allow me to add pics to my blog nor change my gravatar pic :  
"
3118,"ok but select files not work import posts not work view images broblem too slow in 3gjust work 4g and fast wifi :  
"
3119,"ive just used a little just now and i found that on website you guys have open in new tab feature when we add a link on text so that users clicked on it the link opens in a new tab but in app there is no such a feature i had to copy the html code from the previous link ive created using web version on pc thats not such a big deal but i think you guys should add that feature in app too :  
"
3120,"where did the option to follow a blog go and i cant access to the blogs that i follow to which i had access earlier :  
"
3121,"if i could actually publish a post from my phone but no it refuses to do anything after i finish writing :  
"
3122," good news gift gift gift happy winters offer 1 rs 50 gift joining 20 active members 2500 self ads views 2 rs 100 gift joining 35 active members 5000 self ads views 3 rs 200 gift joining 50 active members 7500 self ads views 4 rs 300 gift joining 75 active members 10000 self ads views 5 rs 500 gift joining 100 active members 15000 self ads views note level 1 to level 7 10 top 10  :  
"
3123,"worked perfectly on my galaxy s4 but since upgrading to a s6 i cant get it to connect to my self hosted site :  
"
3124,"cannot upload my profile picture :  
"
3125,"still a few glitches           :  
"
3126,"my app needs to be updated because i operate wordpress on my phone and my laptop and when i post a post from my laptop its not visible on my mobile app and on my google play i dont see the update option :  
"
3127,"i have a galaxy 6 edge plus and i cant upload pictures from my phone will change rating when problem is fixed :  
"
3128,"i found it difficult when i tried to update my primary menu super slow respond waste my time web ui may be the main cause :  
"
3129,"hey the latest version of wordpress keeps freezing and making my phone hang please fix it i even had to downgrade to an older wordpress version 2852016 :  
"
3130,"i can not login because no verify code sent to my phone :  
"
3131,"i generally like wordpress however the app has some problems if i save a local draft with pictures and exit out of the app even for just a few seconds the formatting goes wonky and half the pictures disappear now just recently i wrote up a really long post hit publish and when i checked on it it had saved as a local draft i hit edit and the entire post disappeared i restarted the app and my phone and its still gone im not sure ill continue to use this app after that  :  
"
3132,"i installed the app and signed in but i it says i have no sites connected which is incorrectand making the app pretty much useless for mebecaue when i try to put in the address for it then i get we cant log you in :  
"
3133,"i have stopped getting notifications when someone likes my posts please fix :  
"
3134,"cant work out how to actually post my first one help :  
"
3135,"because of some violations i dont know what happened :  
"
3136,"hi the app is great but im missing some key features like indenting text centering text etc :  
"
3137,"unable to lon in to my account to edit the website :  
"
3138,"maybe im missing it but i dont see a featured image option when posting using galaxys4 and since someone will ask i wouldnt be asking if my blog didnt have a featured image option :  
"
3139,"login error to wpcom and wp self hosting :  
"
3140,"loved it a lot how do i change my profile picture  :  
"
3141,"it show error uploading fix it :  
"
3142,"login is way more complicated that it needs to be :  
"
3143,"it is not accepting images at all  :  
"
3144,"the message bar is always on view and will not go away its stopping me from seeing my posts :  
"
3145,"app entry bug                  :  
"
3146,"cannto find a way to view draft post only though filter :  
"
3147,"one question is the ability to add a paypal account for orders coming soon :  
"
3148,"but i have problem my posts is not shown in browser :  
"
3149,"i cant update my profile picture :  
"
3150,"its just not working i somehow cant post my posts :  
"
3151,"i cant install the app         :  
"
3152,"i have two blogs and i cant seem to log in both of them this was not a problem in the earliest version that i used now it seems that the option to add another blog is only for a self hosted domain ive got 2 dot wordpress dot com blogs how should i log in them both :  
"
3153,"online and in mobile im asked for a verification code but i never receive it it refers to an authenticator mobile application which i cant find whats even more amusing is that the online help requires me to login with this code before makingr a help request so im unable to use my account or get help interestingly enough the rest password sends me a mail to my email address :  
"
3154,"this thing used to work but after the update i am unable to post pictures gives me an error saying an error occurred while uploading the post http status code 403 was returned forbidden i love the app so please fix :  
"
3155,"beats the purpose if website is where you have to go to access tags and home the app only shows blogposts in the order of them being updated need to be able to see tags and home page of a blog in the app instead of just blogposts :  
"
3156,"im quite satisfied of the blog as a customer but as an admin the site is awful when i want to copy some of my text or even write a new page or article the first screen thumbtouch engaging keypad it goes to top page when i want to change for example title menu it refresh for each single letter and there are few problems which im also not entirely satisfied can you fix it please this app doesnt fit on android phone moreover since nothing has been fixed i changed to 1 star :  
"
3157,"nice work i moved from google blog i felt sorry for them and my wasted time there :  
"
3158,"auto jumping out of dashboard must be a small bug but it needs fixing havent been able to work on the go and cant have full access to wordpress features on the browser :  
"
3159,"login info doesnt work when i know its right cant reset with just an email either this app is useless :  
"
3160,"when you copy and past what you want posted up it doesnt gve it the required spacing not matter how much u space out whilst editing it comes out muddled together  :  
"
3161,"likes to double post or leave posts as local drafts now it randomly schedules posts for tomorrow and refuses to accept corrections :  
"
3162,"great for basic bloggingbut cannot format the post also cannot add on the feature imageplease make it happeni would love to have my blog on my finger tips :  
"
3163,"this is great for working with my own blogs four or five stars but the section for reading blogs seems to lack a search the discover categories are just too broad to be able to find what im looking for :  
"
3164,"every time i wanna login it says unable to login :  
"
3165,"that could be a problem for someone who wants to get to the dashboard of their site lol :  
"
3166,"why cant you avoid the use of xnlrpc in this app i cant post using this app :  
"
3167,"i had an entire post written and inserted a pic via the app half of the contents gone took me a few hours to write and all lost how disappointing :  
"
3168,"i am using the latest version of chrome on my tablet but the plugin on the dashboard tells me it is out of date that is concerning i suspect :  
"
3169,"it keeps crashing on me i have 18 wordpress sites and this only started happening in the last few days :  
"
3170,"found it difficult to post a blog as functions are not easily found and not easy to use :  
"
3171,"anyone know if the update allows u to cleae the default on share add this from chrome mobile browser app preferences doesnt clear it addthisapp cant clear it  :  
"
3172,"app wont let me login to my site so pretty useless :  
"
3173,"cant sign in password error i sign in on the pc version here i cant :  
"
3174,"all thumbnails are white sometimes :  
"
3175,"it cant run fluently on sony xperia z1 :  
"
3176,"it keeps force closing i cant do anything ill stick to updating from my browser :  
"
3177,"i cant post after format my phone its not loading my feeds and posts  :  
"
3178,"has almost all the functions like in the desktopweb version :  
"
3179,"needs to add featured image to blog adds and edits :  
"
3180,"would like to see this implemented without the jetpack plugin :  
"
3181,"i cant upload any pictures or media :  
"
3182,"cant put the phone down        :  
"
3183,"poor navigation                :  
"
3184,"you guys really need to make this app more like the desktop version i cant do anything with it even after todays update im still switching between the app and chrome app to do things i really hope that your new osx app for mac isnt like this or ill end up using safari to do my tasks on this is why developers make apps so people can do the things they wouldve done on desktop but you just cant :  
"
3185,"i work in the chrome browser in the wordpress normally on my smartphone but in this app is unable to log in :  
"
3186,"everything looked great until i tried view my site on the mobile and for some reason my old notifications keep popping up and take up almost the entire screen and there is not option to close it what the heck is going on :  
"
3187,"always get errors when trying to create new posts cant refresh media library or categories list still after several updates cant update categories list when creating a new post  :  
"
3188,"i am not able to log in its just a worst thing i can ever experienced :  
"
3189,"finding difficulty in uploading my profile picture sad :  
"
3190,"i cant seem to upload any media let alone multiple media at a time can someone please help :  
"
3191,"when i upload a landscape image its showing as portrait and theres no way to change the rotation :  
"
3192,"there isno functionto change text color please add this too :  
"
3193,"                               :  
"
3194,"just does what its supposed to do :  
"
3195,"last bug doesnt save changes 2 stars 1 star for new bug thank you automattic now you give me duplicate post and when i delete 1 post then refresh guess what both posts disappeared no where to be found trash folder is all empty but when i delete a post on web it move to trash folder heres a tip dont write app if you cant even know how to now i lost my post forever thank to a bunch of lazy developer at automattic is this app automatic delete my post too wont test this for you :  
"
3196,"the display is awful when i try viewing my site by the function view site it displays only a quarter of the screen which is very narrow and hard to follow the whole post the remained screen contains my blog names the sign out button and thats it please kindly fix it by either try make the display as fully as when browsing on the computer or widen the screen of post in view site function :  
"
3197,"when disconnected 1 time during the upload it not able to keep uploading when connected back again it s bugging the app and freezes and the device restarts itself it s in the draft uploading for ever even restarting the device is not helping removing the app and reinstall helps though big definition video doesnt resize automatically depending on the theme of the website updating an existing post is not wysiwyg modifying a video after posted is impossible this app is full of bugs :  
"
3198,"basically unusable on my android very buggy i like having the convenience of a wordpress app but ill have to use the computer until the app shows some major improvement :  
"
3199,"it used to work flawlessly now it only uploads and syncs 98 of the time 2 of the time it works viewing stats is possible so its not completely useless just 98 useless xmlrpc is enabled the problem is the app :  
"
3200,"i love the app but ive had to use the computer version because i can not get my reader to update it keeps saying that it is unable to retrieve new posts ive tried restarting the app ive tried uninstalling it and then redownloading it but not thing please fix and ill change my rating :  
"
3201,"good job thanks for developers but picture upload to media is failure upload not complete please fix the problem sincerely ramin cabbarly :  
"
3202,"im trying to login and itll automatically log me back out ive tried unistalling the app and reinstalling the app that didnt work i would just like to login into my account and update my blog :  
"
3203,"i am unable to upload any of my posts inspite of high data speed irritating i have to switch down to older version fix it up asap :  
"
3204,"when i try to edit my pages it only shows me code not the visual layout of my page not practical at all :  
"
3205,"the ios mobile browser versions have more functionality than the android app cant set featured image for example i would rather maintain my site via the browser or iphone than through this app :  
"
3206,"i liked your dog but your dog ate my homework i want my homework back either way i cannot trust your dog from now on :  
"
3207,"thi app is good but i cant find option to add featured image in post :  
"
3208,"i created my blog just today and i dont know why other people cant see my posts i posted something but when i open my site it shows no posts found please help :  
"
3209,"i updated to the new version last night and now i cant see new posts from the blogs i follow i get the message unable to retrieve posts :  
"
3210,"cancelled update seeing scary reviews and so many 1 star please fix it team :  
"
3211,"everytime somebody comment my post i cant see it on the notification bar :  
"
3212,"i cant get to logging using blogspot please help resolve the issue :  
"
3213,"i cant login at all what is wrong :  
"
3214,"please update it soon it stops whenever i open it :  
"
3215,"wont accept my user name and password works fine through a browser :  
"
3216,"cannot update a post pos       :  
"
3217,"i m not able to use it properly its very slow and features limited functions :  
"
3218,"can not log in self host website anymore :  
"
3219,"since the last update i cant post anything anymore please help  :  
"
3220,"i cant upload my picture for gravatar on personal information fix that button upload picture :  
"
3221,"wont let me log in and it wont let me contact them for help :  
"
3222,"cannot login to my selfhosted server :  
"
3223,"suddenly i cant open the application please fix it :  
"
3224,"why cant reply comment         :  
"
3225,"i cant seem to find featured image icon :  
"
3226,"                               :  
"
3227,"mwaaa                          :  
"
3228,"kudos                          :  
"
3229,"i dont know if this happens to anyone else but for me it continuously makes me sign in i can understand signing in again after an hour or so of inactivity even 30 minutes however i have to relogin after 510 minutes of inactivity maybe even less than five minutes for instance ill type a draft and save it ill go to another app and come back to wordpress within 5 minutes and it makes me sign in again its very irritating also i cant seem to post media on this app :  
"
3230,"1 its missing a search field 2 no multi select and upload of multiple images from a single folder its either messy all together or one by one 3 i lost the whole text and images of a new post because of an internet connection error this should not happen no matter how bad the connection is offline editing is what users expect from an application vs the webadmin 4 post settings button is hidden when keyboard is open 5 cant edit site url 6 cant batch upload local charges :  
"
3231,"everytime i log in it flashes the dashboard and then logs me outbeen doing the same thing for the last 24 hours :  
"
3232,"for all the people that give any negative feedback it is open if you believe some things can work better you can code that contribute or make an alternative you cant then dont criticise as you just let millions to know your real iq :  
"
3233,"allows me to log into a selfhosted site but it behaves erratically images randomly dont appear and i can only edit in html mode media uploads failing for no apparent reason :  
"
3234,"i tried to make an account but i am not able to make it even after i tried consistently but it says an error occurred i also tried to take app help support that also not responding please help me :  
"
3235,"after the blog is saved as draft it would not give in to reediting to complete let alone to be published does not work for my huawei android :  
"
3236,"i loved wordpress when i first got it but just today i have written two long blogs and it didnt save either one i am updating the app now in hopes that out has been improved :  
"
3237,"cannot edit existing posts in visual mode and also cannot remove hyperlinks from text :  
"
3238,"i cant add images from my gallery i can add from existing media but there seems a problem to upload media from my phone gallery is it just my phone or with all i hope it is fixed soon :  
"
3239,"all the posts for selfhosted sites keeps loosing their given categories when a publish button is pressed to post new articles or update button to update content and keeps sending them to uncategorizedplz fix this asap :  
"
3240,"if i click stats or view site the app get crashed :  
"
3241,"i would have give 5 stars for this app but youll need to fix the upload plugin function first :  
"
3242,"wish it would work but can not get it to match my password to my account :  
"
3243,"cant upload images click media and says i have none i have hundreds of photos whats the point of a blog if i can not upload photos :  
"
3244,"after the update i cant log in to my account  :  
"
3245,"                               :  
"
3246,"needs serious fixing           :  
"
3247,"sree alok mohanta sotota agro science li birampur dinajpur dinajpur :  
"
3248,"                               :  
"
3249,"thenks                         :  
"
3250,"thing now crashes if i try to write anything it happens every other time they update why dont they test these things :  
"
3251,"its ok but on viewing my draft to see if it looks ok to post i get a big pop up i cant get rid of saying it has no notifications yetof course it doesnt its a draft please get rid of this or give it an x button so i can get rid of this annoying notification as i cant see if the layout of the post works :  
"
3252,"great app but one problem cant share in a facebook page you can only share on your own wall on a friends wall and in a group used to be able to share in a page but for some reasons we cant do that now please fix as soon as possible :  
"
3253,"only been using for a couple months and im already out of storage will find a different blog to use :  
"
3254,"also can never access dashboard anymore :  
"
3255,"the administration tools are essentially unavailable because touches on the ui screen are totally misinterpreted :  
"
3256,"works good but there are some understandable problems with compatibility with third party plugins :  
"
3257,"it shows how much like the posts get but it shows also users which doesnt look beautiful under the post with some little image of users who like posts its irritable will give 5 star if wordpress can fix it :  
"
3258,"so wordpress decided to log me oit a few days back and thats it no matter how many times i try it wont log me back in i know my username and password is right because i logged in on the web just yesterday another thing it wont let me schedule or post a draft very annoying wp kindly fix this :  
"
3259,"after i select trash on my post i cant find it again is there any way to restore :  
"
3260,"do you not allow me to log in even though my password is correct sure i get to log in for a few seconds then poof you log me out again why and when i try posting something you say that because of an error of some sorts you cant upload my post and theres even no media attached sob and to think i was gonna restart my love for blogging gt lt :  
"
3261,"i am a heavy wordpress user and for months now i noticed that whenever i update the content goes on to html view i cant update my blogs normally on my phone very frustrating the updates suck fix the gui first :  
"
3262,"this is an awkward buggy unuser friendly mess but the blogs i follow are wordpress so i plow on reader never works right wont let me read comments add comments or like a blog entry so i wind up using my browser anyway the blog themes and settings are cumbersome as well and just as buggy :  
"
3263,"was able to connect to my personally hosted blog everything looks pretty good but the featured image setting doesnt work i add an image from my media library then edit its propertiescheck the box for featured image and then leave the box for show in post unchecked but it always just shows the image in the post and refuses to set it as the featured image no matter how many times i go back and try to edit itredo it unfortunately that was the main function i was hoping to use so pretty worthless to me :  
"
3264,"sends a publish event which posts to twitter even though its an update to a post and not a new one web interface works fine and so did the last version of the app :  
"
3265,"i use this app to blog while working full time and i can no longer broadcast posts using the app on my phone constantly coming up with a server error but ive had it checked very annoyed why work for months then suddenly stop what am i missing also regularly only saves changes as local changes rather than uploading to the server :  
"
3266,"for me this is an important feature as i like to record where it is ive been traveling still buried and cant default to on slightly buried the new set up doesnt work with postcodes and wont let me view a map to confirm correct location why not use a small map and overlay crosshairs to allow confirmation or manual alteration :  
"
3267,"the description has a paragraph about the updates but the most one among them the share link option is still not see so the info of update is just fake :  
"
3268,"notification pops up but doesnt show it on my apps notifications and its really annoying :  
"
3269,"keeps gliching and is really difficult to function so annoying should make it more simple :  
"
3270,"with the update it wont let me in everytime i enter the verification code it will not stick i wish i hadnt updatedand i cant access notifications anymore :  
"
3271,"i really love this app as it allows me to moderate and reply to comments on my blog plus i get to keep up with blogs that i follow while on the go update ive tried to open notifications all day and they wont open some arent even showing up i knew that i shouldnt have installed that update please fix :  
"
3272,"the app is good but why cant you comment on other blogs its just so pissing off :  
"
3273,"my blog uses an custom wp admin url and i am not able to find that setting anywhere can you please include an option so that i can login to my dashboard :  
"
3274,"i get the message but when i try to open it to see the comment i get an error message it happens everrryyy time can only see the comments if i enter through the website no point in having the app :  
"
3275,"but this recent update hides the share button after post unless you edit the post again fix that please and you get a five star from me :  
"
3276,"hoping the dev team could help meit says media error occured :  
"
3277,"rubbish my notifications are disappearing and i cant open the ones i see whats going on :  
"
3278,"it doesnt upload any picture please fix it :  
"
3279,"works wonderful support is great if youre having trouble uploading images i suggest turning the default within the settings to 200 :  
"
3280,"i still have to go through the site because this app does not allow to insert embed or audio links :  
"
3281,"unable to post my entry from the mobile app not great :  
"
3282,"cannot open notifications in application :  
"
3283,"doesnt log into self hosted sites tried all the suggestions i can find and xmlrpc test emailed via contact us awaiting reply :  
"
3284,"there used to be a reblog button next to like and comment but its gone with this update what happened i have an htc one m8 :  
"
3285,"how can i change my name and profile pic in this app i am just install it and dont make me uninstall it hope you creator of this app answer me so soon :  
"
3286,"still takes ages to load very disappointing :  
"
3287,"unable to access site          :  
"
3288,"why i cant access my self hosted wordpress i reinstalled but i cant log in please fix it :  
"
3289,"does not update blog information when i write new blog only the first blog post is displayed  :  
"
3290,"how do i change html view into mobile view :  
"
3291,"why not wordpress for windows 10 mobile  :  
"
3292,"crashes all the time           :  
"
3293,"working with marshmallow now cant insert media files please fix asap :  
"
3294,"why was wordpress came as app previous version was quite simple easy and worked for mobile with even 2g you know the facts about mobile internet speeds the newer version has many cons please remove image preview under each post listing as it takes much time for me to navigate to older post even when i am on wifi it doesnt even load on mobile with 2g or 3g graphically its good but ground reality is that i have stop accessing my sites from wordpress mobile app i rolled back to older version via apk :  
"
3295,"almost didnt bother downloading based on a lot of negative reviews on here but im glad i did i could never use the browser on my phone to post because the formatting got all out of whack but it works great through the app also if i paste a poem it actually keeps the indents where i want them which i havent even gotten to work when posting via desktop computer :  
"
3296,"i didnt say hate it because it is sort of cool but it takes forever to get signed in and if you are not english or whatever you cant eve change the language my advice please dont get it or else you will have to change your sign up sheet 10 times :  
"
3297,"liked the app prior to last update ever since cant sign in no explanations or error msg just keeps popping back to sign in screen tried clearing data uninstallreinstall with no luck whats the problem happens with both my blogs no matter which device i try :  
"
3298,"it keeps deleting my posts and costing me a ton of time im not sure why but its done this twice now not sure i can continue to use word press to blog because of these awful issues :  
"
3299,"latest versions have serious problems with my selfhosted blog whats wrong posts are not updated and i got err refuse connection error message please fix it i used to work with this app :  
"
3300,"this new one is so bad i can not read what i write because of some error with my vietnamese font :  
"
3301,"this used to be a really nice app until i got the latest update its slow loads very few posts on the reader and when it hangs while im using it other people cant access my site i simply hate and i advice you not to update your app if your still using the old version oh and another thing you cant view all your followers and the stats area is just complicated and useless they have also removed the widgets area :  
"
3302,"wordpress has been sort of a nightmare for us for a number of reasons we have spent hours and hours writing posts only to have them deleted when we try to add photos some versions over the last months have uploaded all photos in a blog post over and over when half have already been uploaded this had been a nightmare when visiting places with poor internet now we made the mistake of logging out and when we login self hosted blog will not come up we are trying to put up the final post for a 4200km hike :  
"
3303,"the app is fine for getting a quick update of your stats but im finding it is quite buggy for making posts produces and error when adding images and sometimes loses whole posts :  
"
3304,"this app is absolutely horrific it is so confusing the website itself is pretty awful but the app is terrible it is not user friendly at all i am 20 years old and use new technology every single day for my major and job my college recently made students create a wordpress blog and post as homework i have not met one single student who even remotely enjoys the website there is a reason nobody i know used wordpress until it became mandatory i hate every minute of using this website and app :  
"
3305,"i cant count how many times ive spent hours writing a post only to have it vanish just because i rotate to screen from vertical to horizontal why does the app refresh just because the orientation of my phone changes so sad that such a powerhouse such as wordpress puts their reputation on such a terrible app fix the orientation issue please :  
"
3306,"the media item could not be retrieved error when uploading imagen to postwordpress android version 452 android device name lge nexus 5 01 configuring simperium 02 already registered for gcm 03 resetting suggestion tables 04 reader post list gt restoring instance state 05 reader post list gt creating post adapter 06 reader post list gt purging database 07 reader post list gt updating current user 08 reader post list gt updating tags and blogs 09 tracklastactivity activityid my site 10  :  
"
3307,"updates i made are out of sync view site button is not showing all kinds of updates that i made and i know my changes were submitted there are multiple pathways to make changes but that is no use because i dont know which is the one that will work it keeps loading comments in a popup in front of my page and i cant close it :  
"
3308,"thank you for the tip i got it working still cant login to this app from since i got it weeks ago and still after all the updates i am using the same username and password that i use to access my wordpress website on my computer :  
"
3309,"avoid this app if youre an on the go photographer that posts images from your dslr i cant even get this app to upload an image period from built in memory or the sd card utterly pointless and useless for any photographer that runs a photo journal on the go phone lg g4 android version 51 :  
"
