,Negative_reviews
58,"hi i am unable to log in it it always shows some errors please rectify it :  
"
59,"great idea but keeps crashing when you nearly finish a post some times :  
"
60,"ive been looking for online platforms to publiah my articles i didnt know wordpress was there for me :  
"
61,"this app was great till i received an update 2 days back i am unable to publish my article as it goes to scheduled even after i click publish now nothing happens :  
"
62,"you cant add buttons to the menu button and you cant even box up your blog posts like wix blogs are categorized your paragraphs just look like a never ending list of words instead of a short box that you can separate them from other blog postssoooo frustrating and irritating :  
"
63,"same as the website so no complaints there however thats where the positives end i have had issues with publishing my blog posts instantly they keep scheduling my post even though i set it to publish instantly which is frustrating and unreliable for instant publication sticking to blog posting on the web :  
"
64,"it used to be smoother but the updated version seems to freeze and typed words dont appear for a a few seconds after youve typed them almost like its trying to catch up with itself :  
"
65,"the fact that wordpress provides the rare opportunity for writting and publishing cannot be overemphasized but the problem is that it keeps on stopping telling me to either close or wait so please do something to fix this :  
"
66,"experience has been okay overall but not this evening i cannot log in to my blog via laptop the push notification from the app is not going through to the website whatever was changed please change it back thanks :  
"
67,"excellent app for monitoring your wordpress site havent used it to build posts only problem has been uploading media in batches often fails to upload all photos in the batch otherwise good app :  
"
68,"i cant connect my social accounts twitter facebook at the last step the app shows a message error occured one suggestion it would be very useful to have a multi delete function in media tab instead of deleting medias one by one :  
"
69,"we need to be able to upload files from this app like musics and other document files right now its only photos and videos which arent enough and also we need to be able to search for categories when we want to post just give us a search bar there :  
"
70,"good im a complete novice but with a one day training course and some messing around i am getting a website out there i upgraded and have the domain name not happy though that i cannot download mp4 as it wants me to upgrade again :  
"
71,"well good but i cant figure out how to type on the introduction page just let us go at things and give us options and advice as we type along you can give us new ideas then too but we just want to type our thoughts imediately :  
"
72,"very glitchy and slow does not show all the options available while editing the only good feature about it is the stats section and likewise didnt expect such below average app from such a rich and prosperous developer :  
"
73,"very very poor its always been slow uncomfortable and full of bugs this was the case when i used it the first timeand same is the case nownever using this app again :  
"
74,"the stats dont update todsy may 13 the still show stats for may 11 even though i keep refreshing i have to restart my phone if i want updated stats :  
"
75,"the app worked a few times and now i cant upload feature images im trying to reinstall for the second time hoping it will work fine :  
"
76,"very easy to use the only thing is i am having trouble adding content and media to my site and it keeps saying couldnt refresh at this time and it sometimes crashes :  
"
77,"what are usually do is that i upload photos from my gallery on android in recent months this doesnt work any more failure to upload all the time the app has become unusable for me :  
"
78,"must include search bar to search elements or words within a webpage search bar at present shows all the pages to customers and that is not fair hope wordpress will fix it :  
"
79,"wasting time this is the wrost creation by wordpress because it doesnt run even in full internet access and many a times it doesnt not accept photos to be uploaded in it :  
"
80,"im new to this so i may not be fair but i feel navigating around this is kinda confusing also once i approve of a commenti really dont know if its approved and keep clicking it again only to be told that it seems like im duplicating it :  
"
81,"every time this updates something changes so that my readers disappear and views are less i cannot seem to keep up very disappointed :  
"
82,"i am unable toupload any type of media files on the blog post o dont know why its happening but this should be repaired :  
"
83,"before its good now not login my web idmissing xmlrpc method showing now very poor apps :  
"
84,"loving for now only one problem sometimes it automatically insert codes while using html editor and block editor simultaneously thats annoying :  
"
85,"composing and editing blog posts on my phone with this app is a disaster this app is a hot mess for writers i have no idea where to even begin :  
"
86,"app came highly recommeded for mobile use it wpuld seem almost perfect except the app doesnt allow you to log in using username it asks for email address how can this be a different process to the normal website  :  
"
87,"pretty useless when i click on the notification that i have a comment to approve it brings me to a sign in screen where i enter my email address then nothing happens :  
"
88,"i find wordpress is slow on my pc and on ios :  
"
89,"im not very happy right now my page has gotten very popular in just a week and i need to change a few things to make it more user friendly ive tried to contact them a couple times and havent recieved a response :  
"
90,"gives an error when trying to upload images directly to the blog post tried on many android devices and drafts are only saved locally on mobile not on the wp dashboard :  
"
91,"it works great for about 80 of my needs i started to work on my old podcast again but cant load audio via the app very annoying :  
"
92,"this just crashes everytime i open the posts page :  
"
93,"massively unreliable for uploading media sometimes it works but 99 of the time it doesnt :  
"
94,"ok app when it works but regularly crashes on me and goes extremely slowly to the point its impossible to write anything on it :  
"
95,"its hard to find the save button in the mobile editor my draft kept closing and then i had to start over :  
"
96,"app not longer loads any of my posts pages media stats nothing cant even use it disappointing samething on my ipad as well :  
"
97,"account upgradation im not able to upgrade my account as payment is being declined by site i have tried with 4 different card but result is same as per company policy i cant connect you without having paid account what should i have to do :  
"
98,"spent all day setting up my website and got it the way i wanted it then it was suggested that i download the app my website does not correlate with the app at all no point downloading :  
"
99,"just started using this and already deleted it because i have no idea how any of this works its too difficult and thats coming from someone who practically grew up on the internet with blogs and stuff im sorry :  
"
100,"this latest update changed the app to dark mode using a shade of grey that makes it so i cant read the text can find no setting to reverse it either :  
"
101,"the app is really good i am really enjoying my expirience with it but i want to monetize my blog and i dont know to do so on my phone :  
"
102,"it keeps on crashing whenever i check the site stats  :  
"
103,"why i always failed uploading and editing article in my wordpress android :  
"
104,"hey this error has occured ever since i upgraded to the latest version of wordpress app after uploading a media i cant find error message is saying media not found please do something :  
"
105,"this ia the best application for website building and blogging user friendly it deserves infinity start so unfortunately that its limited to five stars  :  
"
106,"it takes long to write and edit a mid size post :  
"
107,"good app but i cant find where im able to change my page photos and information i can only remove headers and spaces :  
"
108,"pretty handy but not all pages open up on my phone anyway :  
"
109,"it was working fine then it stop allowing me publish new post or upload media over a month now i have uninstall reinstall back still no change :  
"
110,"most disappointing despite trying to log in using my actual email its painstakingly slow to respond :  
"
111,"pages wouldnt loadrefreshing doesnt helpkeeps telling me i have no pages technically most of the features are not functioning :  
"
112,"just wish they didnt insist on billing for the entire year payments option would be better :  
"
113,"i cant seem to upload photos from my phone through the app is there something wrong with wordpress now :  
"
114,"there are lot of domain options available on app than desktop which is quite irritating while using desktop site pathetic development :  
"
115,"everything working well so far after a shaky start due to user error :  
"
116,"the app works well overall but it theres still no upload audios on the media tab please fix :  
"
117,"great experience with wordpress so far nothing to complain about :  
"
118,"very limited features and does not work most of the time better off just using the browser on your phone :  
"
119,"its good but it would be wonderful if i could see the polls without having to go to the website on android and amazon devices i have this problem :  
"
120,"i really dont like what im going through now when im also done with my content then the app stops itself :  
"
121,"sometimes the app is mixing and mess up things :  
"
122,"i write my blog on the phone when i hit the enter its new paragraph how to make a new line only  :  
"
123,"cant make all plugins work here katex wont work so its useless for me :  
"
124,"i am now experiencing problem such as upload failed :  
"
125,"cant upload images says upload failed i have to use web to publish posts with imagesno use worst app :  
"
126,"why does the app close pages while updating the browser app doesnt do this :  
"
127,"not easy to use could easily be intuitive but it isnt :  
"
128,"this has got to be the most useless app for android users why even have an app when one has to go to the website to everything except the basics :  
"
129,"i love it but i cant seem to remove the black background and set the site back to default :  
"
130,"i enjoyed it for the first 3 weeke now its problematic hangs or wont open at all recommend it doubt it :  
"
131,"error while uploading media i dont know why :  
"
132,"its difficult to understand why my follower count increases so slowly i wish i would start making money from your website so i could afford the paid verson :  
"
133,"can not post things always showing error invalid term id :  
"
134,"over all functionality and ease of use cant be beat :  
"
135,"pants app no way to get rid of the reader wanted to use this for a self hosted site dont want to read other peoples content :  
"
136,"upload failed over and over and over useless :  
"
137,"i cant load pictures any longer and i cant play at because if this what is wrong :  
"
138,"best everno rival but why cant we add audio or video other than images alone and gif pls add audio or video feature :  
"
139,"useless when i try to publish posts it says error and saved to draft :  
"
140,"nice app but is there any way i can change the font and justify the alignment :  
"
141,"i cant upload images from my device suddenly not cool though :  
"
142,"too many bugs also block editor is too annoying :  
"
143,"its really good and easy to use but i still dont know how to add seo :  
"
144,"unable to add role of second user its not working please solve the problem :  
"
145,"doesnt work doesnt bring data from self hosted site at all :  
"
146,"it is almost impossible to earn on wordpress as a writer this actually leads to a defunct of the mental health especially after using the last money on you to pay for premium im regretting terribly :  
"
147,"doesnt work crashes when opening media and takes days to open posts :  
"
148,"the app is limited so 8 switch between the app and internet browser which can means 8 lose work :  
"
149,"not functional cant load my sites previous posts or pages at all :  
"
150,"fine but i need to know how to whitelist this app i block xmlrpc and allow only certain ip please does this app have any ip address i can use to whitelist it :  
"
151,"good app but their is a problem in installing plugin please fix it :  
"
152,"seriously wordpress is the best everything made simple :  
"
153,"asking authorization again again even after putting right credentials :  
"
154,"ive been a wordpress user since 2014 and still loving it until now  :  
"
155,"greatwhy cant i search for my post topic on a browser and see my published post though :  
"
156,"used wordpress for several years love it :  
"
157,"when you sign up auto renew is on by default they will email you a reminder with a month to go then take the money the next day then you have 4 days to get your money back otherwise you can only get half back despite there still being nearly a month to go before you have started to use the next years sign up this news that you lost half the money for a product you will never use is delivered by their happiness engineer also my older followers found signing up as followers very confusing :  
"
158,"blacked out frozen solid cant do a thing useless :  
"
159,"i tried this app over a year ago and i couldnt get it to work with my domain i decided to try again and this time it worked i love being able to post at any time without being on my computer the only issues im having are that i have yet to be able to upload a picture i think this feature is worth one whole star i tried uploading a picture on my provider network and over wifi neither worked the other issue im having is that i cant seem to check categories for my post i have to log in through my browser to do that it may be user error but i couldnt find that option all in all it works for generic text posts at least for me ill take that over nothing :  
"
160,"nice but from last few months post cand not be punlished sat media upload fail :  
"
161,"no posting on ohone for some reason otherwise very good :  
"
162,"everyhing is good but i am not able to put blog in google search engine :  
"
163,"unreliable buggy as can be youre happy to troubleshoot no youre not the same question on the same problems have been posted by at least dozens of users for the last three years and theres rarely any response and never one thats technically competent i say this as an architectdeveloper of 20 years :  
"
164,"the wordpress app when it works is lovely but it rarely works so many bugs and hiccups and just falls flat whenever you try and do a task and nothing is worse when youre trying to make a mobile post through the app and the post just fails and forever loops not posting the article instead just reminding you over and over how an error has occurred :  
"
165,"images are not showing and lot of bug :  
"
166,"im finding it difficult to make payment for my premium plan on wordpress i was told to message you guys on email i did that more than 4 times now but still there no response i need to suscribe for premium plan urgently please help me enable my payment :  
"
167,"i cant seem to upload pictures to my blog :  
"
168,"wordpress post content not showing and when you try adding a content here it all appears in a wrong place on the page wish i could just add new post to my website from here life wouldve been much better :  
"
169,"good works just takes so much ram :  
"
170,"ive installed the app and logged in using my website but no posts or pages are showing up i think it might take time but still im not sure why it isnt showing up things look good at the website end :  
"
171,"featured image uploading problem :  
"
172,"using it for a year or so nice best used for creating simple blog postspages with a pic or two and general management of site insights and reader are a fabulous tools designed to inform site managers of online traffic and also simplify site aesthetics for those who browse there are limitations on wp postpage design and the app doesnt support buildingediting podcast pages at all :  
"
173,"earlier it was fantastically fantastic but now its lagging and getting freezed at every stage whenever i try to update and compose my story its becoming so slow that im unable to type a story and it hangs or freezes so much that even if i press backspace or try to exit it doesnt process well all other sites and platforms are working except this im unable to type and frame my story at all it hangs freezes and irritates me :  
"
